dataset,method,track,rmse,mae,std,source,note
Lorenz63,NeuralCDE,Track-A,6.047891053993558,4.224471738819418,,experiments_v2/lorenz63/neuralcde,CSDI 补值输入
Lorenz63,GRU-ODE-Bayes,Track-A,5.96936484834554,4.029014563018304,,experiments_v2/lorenz63/gruodebayes,CSDI 补值输入
Lorenz63,SSSD_v2,Track-A,15.209231645373157,12.01780559338016,,experiments_v2/lorenz63/sssd_v2,CSDI 补值输入
Lorenz63,SSSD_v1,Track-A,18.80088958430331,15.204769396783744,,experiments_v2/lorenz63/sssd,CSDI 补值输入
Lorenz96,NeuralCDE,Track-A,9.939031641608441,7.158819272574819,,experiments_v2/lorenz96/neuralcde,CSDI 补值输入
Lorenz96,GRU-ODE-Bayes,Track-A,4.1047472427200455,3.257085006186889,,experiments_v2/lorenz96/gruodebayes,CSDI 补值输入
Lorenz96,SSSD_v2,Track-A,6.658687597122186,5.180468946810243,,experiments_v2/lorenz96/sssd_v2,CSDI 补值输入
Lorenz96,SSSD_v1,Track-A,5.591627555073574,4.432016016509644,,experiments_v2/lorenz96/sssd,CSDI 补值输入
PM2.5,NeuralCDE,Track-A,15.063878543558165,10.43950556888877,,experiments_v2/pm25/neuralcde,CSDI 补值输入
PM2.5,GRU-ODE-Bayes,Track-A,20.985670543128577,15.560527748485946,,experiments_v2/pm25/gruodebayes,CSDI 补值输入
PM2.5,SSSD_v1,Track-A,105.21103380289328,95.31860980143149,,experiments_v2/pm25/sssd,CSDI 补值输入
EEG,NeuralCDE,Track-A,17.041921524175645,12.272827729562627,,experiments_v2/eeg/neuralcde,CSDI 补值输入
EEG,GRU-ODE-Bayes,Track-A,6.236323767305315,5.188355923295806,,experiments_v2/eeg/gruodebayes,CSDI 补值输入
EEG,SSSD_v2,Track-A,64.0600634143049,56.475124782986114,,experiments_v2/eeg/sssd_v2,CSDI 补值输入
EEG,SSSD_v1,Track-A,87.57314388800306,73.14899359809027,,experiments_v2/eeg/sssd,CSDI 补值输入
Lorenz63,RDE-GPR (ours),Track-A,0.5726,,0.1445,experiments_v2/lorenz63/rde_delay/summary_mean.json (5 seeds),"CSDI 补值 → RDE-GPR (空间集成), 5 seeds 均值"
Lorenz63,RDE-Delay-GPR (ours),Track-A,1.4029,,0.4126,experiments_v2/lorenz63/rde_delay/summary_mean.json (5 seeds),"CSDI 补值 → RDE-Delay-GPR (延迟嵌入), 5 seeds 均值"
Lorenz96,RDE-GPR (ours),Track-A,0.2845,,0.0986,experiments_v2/lorenz96/rde_delay/summary_mean.json (5 seeds),"CSDI 补值 → RDE-GPR (空间集成), 5 seeds 均值"
Lorenz96,RDE-Delay-GPR (ours),Track-A,0.2647,,0.1068,experiments_v2/lorenz96/rde_delay/summary_mean.json (5 seeds),"CSDI 补值 → RDE-Delay-GPR (延迟嵌入), 5 seeds 均值"
PM2.5,RDE-GPR (ours),Track-A,17.20528034854183,11.791545007934095,,experiments_v2/pm25/rdegpr_modeB,"CSDI 补值 → RDE-GPR, 全 36 站, trainlength=200"
EEG,RDE-Delay-GPR (ours),Track-A,12.130577018421237,10.341296622536573,,experiments_v2/eeg/rde_delay_gpr_modeB_redo,CSDI 补值 → RDE-Delay-GPR
EEG,RDE-GPR (ours),Track-A,61.47131400781405,53.7702071601194,,experiments_v2/eeg/rdegpr_spatial_modeB,"CSDI 补值 → RDE-GPR (空间版, 对照)"
Lorenz63,NeuralCDE,Track-B,6.887076541583071,5.229918633471295,,experiments_v2/lorenz63/neuralcde_sparse,"基线直接吃 sparse_50, h=20"
Lorenz63,GRU-ODE-Bayes,Track-B,2.692481944027993,2.0856317062310366,,experiments_v2/lorenz63/gruodebayes_sparse,"基线直接吃 sparse_50, h=20"
Lorenz96,NeuralCDE,Track-B,3.53294029633342,2.6309602742028293,,experiments_v2/lorenz96/neuralcde_sparse,"基线直接吃 sparse_50, h=20"
Lorenz96,GRU-ODE-Bayes,Track-B,1.1404107971603208,0.6088952243584892,,experiments_v2/lorenz96/gruodebayes_sparse,"基线直接吃 sparse_50, h=20"
EEG,NeuralCDE,Track-B,52.384556688819934,44.4183559225709,,experiments_v2/eeg/neuralcde_naive,基线 + forward-fill 预处理
EEG,GRU-ODE-Bayes,Track-B,7.670061708137457,6.135425024033895,,experiments_v2/eeg/gruodebayes_mask,基线 + NaN mask (论文机制)
PM2.5,NeuralCDE,Track-B,27.797814358293007,20.911634734256733,,experiments_v2/pm25/neuralcde_mask,基线 + NaN mask (论文机制)
